datetime,power,Azimuth,AirTemp,RelativeHumidity,CloudOpacity,Dhi,Ghi,WindSpeed10m,Zenith
2019-01-01 00:00:00,0.0,11.166666666666666,8.833333333333334,60.63333333333333,0.001,0.001,0.001,4.466666666666667,160.33333333333334
2019-01-01 01:00:00,0.0,-28.08333333333333,8.35,60.50833333333333,0.001,0.001,0.001,4.741666666666666,158.58333333333334
2019-01-01 02:00:00,0.0,-56.16666666666666,7.666666666666667,60.15,0.001,0.001,0.001,4.991666666666666,150.91666666666666
2019-01-01 03:00:00,0.0,-73.25,6.991666666666667,59.925,0.001,0.001,0.001,4.908333333333333,140.83333333333334
2019-01-01 04:00:00,0.0,-85.33333333333333,6.45,60.40833333333333,0.001,0.001,0.001,4.7,129.58333333333334
2019-01-01 05:00:00,0.0,-95.41666666666669,5.95,60.96666666666667,0.001,0.001,0.001,4.641666666666667,118.5
2019-01-01 06:00:00,0.015457735184463672,-104.5,5.616666666666667,61.73333333333333,0.001,0.001,0.001,4.4750000000000005,107.33333333333331
2019-01-01 07:00:00,0.05137189687229693,-113.58333333333331,5.375,63.225,0.001,0.001,0.001,4.375,96.75
2019-01-01 08:00:00,0.09569648591801524,-123.33333333333331,5.158333333333333,64.29166666666667,0.001,15.25,41.66666666666666,4.275,86.83333333333333
2019-01-01 09:00:00,0.24867657772265375,-134.5,5.95,61.05,0.001,40.25,183.66666666666663,4.233333333333333,78.0
2019-01-01 10:00:00,0.33393787235021594,-146.66666666666666,7.608333333333333,55.583333333333336,0.001,51.41666666666666,319.3333333333333,4.375,70.75
2019-01-01 11:00:00,0.4773794263694435,-160.5,8.841666666666667,52.9,0.001,56.91666666666666,414.8333333333333,4.3500000000000005,65.66666666666667
2019-01-01 12:00:00,0.4620938965305686,-85.75,9.966666666666669,50.74166666666667,0.001,59.41666666666666,458.25,3.9,63.333333333333336
2019-01-01 13:00:00,0.4284816114138812,168.83333333333334,10.833333333333334,49.15,0.001,61.583333333333336,444.4166666666667,3.4333333333333336,64.0
2019-01-01 14:00:00,0.28423009667545557,154.08333333333334,11.475,48.475,0.001,58.333333333333336,376.0,3.025,67.75
2019-01-01 15:00:00,0.188531440962106,140.66666666666666,11.741666666666667,49.14166666666667,0.001,50.16666666666666,260.4166666666667,2.6750000000000003,73.75
2019-01-01 16:00:00,0.1640900020301342,129.16666666666666,11.55,51.73333333333333,0.001,33.416666666666664,115.83333333333331,2.333333333333333,81.66666666666667
