Epoch,Loss_D,Loss_G,Score_D,Score_G,PSNR,SSIM
1,0.97702901246305,0.014452825628533335,0.6550907977897964,0.6238515452496306,22.1631823172264,0.6318678635358811
2,0.9995879654113404,0.00987091505911179,0.7652140854647059,0.7655336117030618,20.838538462136547,0.644103753566742
3,1.0000001519311688,0.008942409369893774,0.9999924118647319,0.9999925665370004,22.734446353604014,0.661247210783117
4,0.9999999970019221,0.008297441963574844,0.9999928593207262,0.9999928565510733,23.086422023880928,0.6660985445976257
5,0.9999997343988476,0.008219480908247168,0.9999927534742984,0.9999924846751961,22.87654446356551,0.6683382736935335
6,0.999999899335964,0.007954771073345475,0.9999924293392433,0.9999923257056824,22.850839726127937,0.6662176928800695
7,1.0000000105646556,0.007761011858677079,0.9999919168820638,0.9999919263045944,23.302284309160303,0.6834002107031205
8,0.9999998792060121,0.00763763812710782,0.9999923043336697,0.9999921860523566,23.182859131741573,0.678810445280636
9,0.9999999508172452,0.007623286978927201,0.9999913231484191,0.9999912753362141,22.64020686444458,0.6738155167944291
10,1.0000000890857446,0.007409743722528219,0.9999919700622558,0.9999920637165001,22.7969501658255,0.6796338361852309
11,1.0000000465415908,0.007313872968365332,0.9999919747306915,0.999992022200259,23.335008391717547,0.6839155756024753
12,1.000000062788318,0.007267997000299528,0.9999911573689855,0.9999912194720285,23.37152217316339,0.6825316692099852
13,0.9999999542007904,0.007266632350395897,0.9999917207649368,0.999991676793127,22.808715180774776,0.683200303736855
14,0.9999993994136056,0.007328679009736655,0.9999887053124205,0.9999880786998543,22.955884394372823,0.6823913968310636
15,0.9999997220210687,0.007197191662484122,0.999981968160161,0.9999816613711283,23.380633885968365,0.6887026826073142
16,1.0000000352773837,0.007014981349205186,0.9999784852787407,0.999978521741079,23.415244828575425,0.6901052465859582
17,0.9999994527222867,0.006981905185043098,0.9999682797500473,0.9999676504106578,23.485454119490655,0.6892960583462434
18,0.9999996968229373,0.006842426354076691,0.9999325776813986,0.9999320457081595,23.406693073955175,0.6925213155325721
19,0.999998521462172,0.006799724621553264,0.9992882124678103,0.9992735913270961,23.43539517387216,0.6925884047676535
20,1.0001503571493182,0.007085574145713252,0.8652914472468599,0.8624889677941442,23.149813135425276,0.6890925004903008
21,1.0028603373601765,0.0074554539417212235,0.35690379632447294,0.3594632858430554,23.558580234822543,0.6951224610384773
